Year,Reference area,Sex,COMPOSITE_BREAKDOWN,Value
2010,Batken,Male,Non-communicable disease: Diabetes,1.349528
2011,Batken,Male,Non-communicable disease: Diabetes,3.542958
2012,Batken,Male,Non-communicable disease: Diabetes,6.076389
2013,Batken,Male,Non-communicable disease: Diabetes,5.086901
2014,Batken,Male,Non-communicable disease: Diabetes,7.036424
2015,Batken,Male,Non-communicable disease: Diabetes,6.464646
2016,Batken,Male,Non-communicable disease: Diabetes,7.498027
2017,Batken,Male,Non-communicable disease: Diabetes,5.795981
2018,Batken,Male,Non-communicable disease: Diabetes,6.049149
2019,Batken,Male,Non-communicable disease: Diabetes,8.130081
2020,Batken,Male,Non-communicable disease: Diabetes,9.0
2007,Batken,Female,Non-communicable disease: Diabetes,8.208595
2008,Batken,Female,Non-communicable disease: Diabetes,8.62482
2009,Batken,Female,Non-communicable disease: Diabetes,5.676443
2010,Batken,Female,Non-communicable disease: Diabetes,6.973501
2011,Batken,Female,Non-communicable disease: Diabetes,2.738476
2012,Batken,Female,Non-communicable disease: Diabetes,4.923903
2013,Batken,Female,Non-communicable disease: Diabetes,3.940455
2014,Batken,Female,Non-communicable disease: Diabetes,4.708904
2015,Batken,Female,Non-communicable disease: Diabetes,5.855291
2016,Batken,Female,Non-communicable disease: Diabetes,6.538619
2017,Batken,Female,Non-communicable disease: Diabetes,6.407689
2018,Batken,Female,Non-communicable disease: Diabetes,4.707729
2019,Batken,Female,Non-communicable disease: Diabetes,6.523408
2020,Batken,Female,Non-communicable disease: Diabetes,7.5
2007,Jalal-Abad,,Non-communicable disease: Diabetes,6.578947
2008,Jalal-Abad,,Non-communicable disease: Diabetes,9.104552
2009,Jalal-Abad,,Non-communicable disease: Diabetes,8.374384
2010,Jalal-Abad,,Non-communicable disease: Diabetes,7.670648
2011,Jalal-Abad,,Non-communicable disease: Diabetes,7.939545
2012,Jalal-Abad,,Non-communicable disease: Diabetes,7.602065
2013,Jalal-Abad,,Non-communicable disease: Diabetes,9.558824
2014,Jalal-Abad,,Non-communicable disease: Diabetes,10.622974
2015,Jalal-Abad,,Non-communicable disease: Diabetes,8.991537
2016,Jalal-Abad,,Non-communicable disease: Diabetes,8.552177
2017,Jalal-Abad,,Non-communicable disease: Diabetes,8.815801
2018,Jalal-Abad,,Non-communicable disease: Diabetes,10.39501
2019,Jalal-Abad,,Non-communicable disease: Diabetes,10.43535
2020,Jalal-Abad,,Non-communicable disease: Diabetes,16.0
2007,Jalal-Abad,Male,Non-communicable disease: Diabetes,6.881198
2008,Jalal-Abad,Male,Non-communicable disease: Diabetes,8.8
2009,Jalal-Abad,Male,Non-communicable disease: Diabetes,7.678677
2010,Jalal-Abad,Male,Non-communicable disease: Diabetes,6.789525
2011,Jalal-Abad,Male,Non-communicable disease: Diabetes,8.024455
2012,Jalal-Abad,Male,Non-communicable disease: Diabetes,7.494847
2013,Jalal-Abad,Male,Non-communicable disease: Diabetes,6.601871
2014,Jalal-Abad,Male,Non-communicable disease: Diabetes,9.872554
2015,Jalal-Abad,Male,Non-communicable disease: Diabetes,8.428446
2016,Jalal-Abad,Male,Non-communicable disease: Diabetes,6.017882
2017,Jalal-Abad,Male,Non-communicable disease: Diabetes,7.418648
2018,Jalal-Abad,Male,Non-communicable disease: Diabetes,7.439246
2019,Jalal-Abad,Male,Non-communicable disease: Diabetes,8.587168
2020,Jalal-Abad,Male,Non-communicable disease: Diabetes,15.6
2007,Jalal-Abad,Female,Non-communicable disease: Diabetes,6.276574
2008,Jalal-Abad,Female,Non-communicable disease: Diabetes,9.409409
2009,Jalal-Abad,Female,Non-communicable disease: Diabetes,9.071189
2010,Jalal-Abad,Female,Non-communicable disease: Diabetes,8.553655
2011,Jalal-Abad,Female,Non-communicable disease: Diabetes,7.854406
2012,Jalal-Abad,Female,Non-communicable disease: Diabetes,7.709665
2013,Jalal-Abad,Female,Non-communicable disease: Diabetes,12.529943
2014,Jalal-Abad,Female,Non-communicable disease: Diabetes,11.378003
2015,Jalal-Abad,Female,Non-communicable disease: Diabetes,9.559214
2016,Jalal-Abad,Female,Non-communicable disease: Diabetes,11.111111
2017,Jalal-Abad,Female,Non-communicable disease: Diabetes,10.228435
2018,Jalal-Abad,Female,Non-communicable disease: Diabetes,13.386881
2019,Jalal-Abad,Female,Non-communicable disease: Diabetes,12.307187
2020,Jalal-Abad,Female,Non-communicable disease: Diabetes,16.4
2007,Issyk-Kul,,Non-communicable disease: Diabetes,10.366275
2008,Issyk-Kul,,Non-communicable disease: Diabetes,6.186984
2009,Issyk-Kul,,Non-communicable disease: Diabetes,8.191126
2010,Issyk-Kul,,Non-communicable disease: Diabetes,8.128246
2011,Issyk-Kul,,Non-communicable disease: Diabetes,6.946
2012,Issyk-Kul,,Non-communicable disease: Diabetes,6.434435
2013,Issyk-Kul,,Non-communicable disease: Diabetes,8.991228
2014,Issyk-Kul,,Non-communicable disease: Diabetes,8.889853
2015,Issyk-Kul,,Non-communicable disease: Diabetes,6.20985
2016,Issyk-Kul,,Non-communicable disease: Diabetes,6.970849
2017,Issyk-Kul,,Non-communicable disease: Diabetes,10.418837
2018,Issyk-Kul,,Non-communicable disease: Diabetes,13.157895
2019,Issyk-Kul,,Non-communicable disease: Diabetes,9.129641
2020,Issyk-Kul,,Non-communicable disease: Diabetes,14.6
2007,Issyk-Kul,Male,Non-communicable disease: Diabetes,8.882655
2008,Issyk-Kul,Male,Non-communicable disease: Diabetes,4.180214
2009,Issyk-Kul,Male,Non-communicable disease: Diabetes,8.743672
2010,Issyk-Kul,Male,Non-communicable disease: Diabetes,7.29927
2011,Issyk-Kul,Male,Non-communicable disease: Diabetes,5.424955
2012,Issyk-Kul,Male,Non-communicable disease: Diabetes,6.711409
2013,Issyk-Kul,Male,Non-communicable disease: Diabetes,7.954043
2014,Issyk-Kul,Male,Non-communicable disease: Diabetes,7.860262
2015,Issyk-Kul,Male,Non-communicable disease: Diabetes,4.741379
2016,Issyk-Kul,Male,Non-communicable disease: Diabetes,5.947324
2017,Issyk-Kul,Male,Non-communicable disease: Diabetes,12.981575
2018,Issyk-Kul,Male,Non-communicable disease: Diabetes,11.147812
2019,Issyk-Kul,Male,Non-communicable disease: Diabetes,7.739308
2020,Issyk-Kul,Male,Non-communicable disease: Diabetes,13.3
2007,Issyk-Kul,Female,Non-communicable disease: Diabetes,11.807448
2008,Issyk-Kul,Female,Non-communicable disease: Diabetes,8.141113
2009,Issyk-Kul,Female,Non-communicable disease: Diabetes,7.650765
2010,Issyk-Kul,Female,Non-communicable disease: Diabetes,8.940545
2011,Issyk-Kul,Female,Non-communicable disease: Diabetes,8.440693
2012,Issyk-Kul,Female,Non-communicable disease: Diabetes,6.161972
2013,Issyk-Kul,Female,Non-communicable disease: Diabetes,10.013061
2014,Issyk-Kul,Female,Non-communicable disease: Diabetes,9.905254
2015,Issyk-Kul,Female,Non-communicable disease: Diabetes,7.659574
2016,Issyk-Kul,Female,Non-communicable disease: Diabetes,7.983193
2017,Issyk-Kul,Female,Non-communicable disease: Diabetes,7.880547
2018,Issyk-Kul,Female,Non-communicable disease: Diabetes,15.151515
2019,Issyk-Kul,Female,Non-communicable disease: Diabetes,10.509297
2020,Issyk-Kul,Female,Non-communicable disease: Diabetes,16.0
2007,Naryn,,Non-communicable disease: Diabetes,5.445352
2008,Naryn,,Non-communicable disease: Diabetes,3.889537
2009,Naryn,,Non-communicable disease: Diabetes,6.581494
2010,Naryn,,Non-communicable disease: Diabetes,4.219409
2011,Naryn,,Non-communicable disease: Diabetes,6.069803
2012,Naryn,,Non-communicable disease: Diabetes,3.752345
2013,Naryn,,Non-communicable disease: Diabetes,3.707824
2014,Naryn,,Non-communicable disease: Diabetes,6.959707
2015,Naryn,,Non-communicable disease: Diabetes,4.708439
2016,Naryn,,Non-communicable disease: Diabetes,5.010737
2017,Naryn,,Non-communicable disease: Diabetes,3.893805
2018,Naryn,,Non-communicable disease: Diabetes,7.358094
2019,Naryn,,Non-communicable disease: Diabetes,7.63094
2020,Naryn,,Non-communicable disease: Diabetes,9.6
2007,Naryn,Male,Non-communicable disease: Diabetes,5.39707
2008,Naryn,Male,Non-communicable disease: Diabetes,3.079292
2009,Naryn,Male,Non-communicable disease: Diabetes,4.594181
2010,Naryn,Male,Non-communicable disease: Diabetes,1.515152
2011,Naryn,Male,Non-communicable disease: Diabetes,5.988024
2012,Naryn,Male,Non-communicable disease: Diabetes,1.47929
2013,Naryn,Male,Non-communicable disease: Diabetes,3.652301
2014,Naryn,Male,Non-communicable disease: Diabetes,7.220217
2015,Naryn,Male,Non-communicable disease: Diabetes,4.282655
2016,Naryn,Male,Non-communicable disease: Diabetes,7.052186
2017,Naryn,Male,Non-communicable disease: Diabetes,2.089136
2018,Naryn,Male,Non-communicable disease: Diabetes,5.509642
2019,Naryn,Male,Non-communicable disease: Diabetes,5.453306
2020,Naryn,Male,Non-communicable disease: Diabetes,8.1
2007,Naryn,Female,Non-communicable disease: Diabetes,5.494505
2008,Naryn,Female,Non-communicable disease: Diabetes,4.716981
2009,Naryn,Female,Non-communicable disease: Diabetes,8.613939
2010,Naryn,Female,Non-communicable disease: Diabetes,6.993007
2011,Naryn,Female,Non-communicable disease: Diabetes,6.153846
2012,Naryn,Female,Non-communicable disease: Diabetes,6.092917
2013,Naryn,Female,Non-communicable disease: Diabetes,3.76506
2014,Naryn,Female,Non-communicable disease: Diabetes,6.69145
2015,Naryn,Female,Non-communicable disease: Diabetes,5.147059
2016,Naryn,Female,Non-communicable disease: Diabetes,2.906977
2017,Naryn,Female,Non-communicable disease: Diabetes,5.759539
2018,Naryn,Female,Non-communicable disease: Diabetes,9.272468
2019,Naryn,Female,Non-communicable disease: Diabetes,9.887006
2020,Naryn,Female,Non-communicable disease: Diabetes,11.2
2007,Osh,,Non-communicable disease: Diabetes,6.482682
2008,Osh,,Non-communicable disease: Diabetes,5.398481
2009,Osh,,Non-communicable disease: Diabetes,5.588103
2010,Osh,,Non-communicable disease: Diabetes,5.158307
2011,Osh,,Non-communicable disease: Diabetes,4.651979
2012,Osh,,Non-communicable disease: Diabetes,4.739336
2013,Osh,,Non-communicable disease: Diabetes,4.803641
2014,Osh,,Non-communicable disease: Diabetes,5.106663
2015,Osh,,Non-communicable disease: Diabetes,5.707395
2016,Osh,,Non-communicable disease: Diabetes,5.496231
2017,Osh,,Non-communicable disease: Diabetes,6.073186
2018,Osh,,Non-communicable disease: Diabetes,6.626506
2019,Osh,,Non-communicable disease: Diabetes,6.789668
2020,Osh,,Non-communicable disease: Diabetes,7.6
2007,Osh,Male,Non-communicable disease: Diabetes,5.880191
2008,Osh,Male,Non-communicable disease: Diabetes,5.266025
2009,Osh,Male,Non-communicable disease: Diabetes,4.291845
2010,Osh,Male,Non-communicable disease: Diabetes,4.943503
2011,Osh,Male,Non-communicable disease: Diabetes,4.707113
2012,Osh,Male,Non-communicable disease: Diabetes,3.422313
2013,Osh,Male,Non-communicable disease: Diabetes,4.683841
2014,Osh,Male,Non-communicable disease: Diabetes,4.902762
2015,Osh,Male,Non-communicable disease: Diabetes,4.942602
2016,Osh,Male,Non-communicable disease: Diabetes,4.201681
2017,Osh,Male,Non-communicable disease: Diabetes,5.785627
2018,Osh,Male,Non-communicable disease: Diabetes,7.005515
2019,Osh,Male,Non-communicable disease: Diabetes,7.29927
2020,Osh,Male,Non-communicable disease: Diabetes,6.0
2007,Osh,Female,Non-communicable disease: Diabetes,7.094847
2008,Osh,Female,Non-communicable disease: Diabetes,5.533014
2009,Osh,Female,Non-communicable disease: Diabetes,6.905324
2010,Osh,Female,Non-communicable disease: Diabetes,5.376344
2011,Osh,Female,Non-communicable disease: Diabetes,4.596076
2012,Osh,Female,Non-communicable disease: Diabetes,6.075334
2013,Osh,Female,Non-communicable disease: Diabetes,4.925272
2014,Osh,Female,Non-communicable disease: Diabetes,5.313849
2015,Osh,Female,Non-communicable disease: Diabetes,6.485084
2016,Osh,Female,Non-communicable disease: Diabetes,6.81458
2017,Osh,Female,Non-communicable disease: Diabetes,6.36646
2018,Osh,Female,Non-communicable disease: Diabetes,6.239537
2019,Osh,Female,Non-communicable disease: Diabetes,6.268657
2020,Osh,Female,Non-communicable disease: Diabetes,9.2
2007,Talas,,Non-communicable disease: Diabetes,7.633588
2008,Talas,,Non-communicable disease: Diabetes,7.555556
2009,Talas,,Non-communicable disease: Diabetes,10.105448
2010,Talas,,Non-communicable disease: Diabetes,5.208333
2011,Talas,,Non-communicable disease: Diabetes,2.996575
2012,Talas,,Non-communicable disease: Diabetes,4.2123
2013,Talas,,Non-communicable disease: Diabetes,6.213753
2014,Talas,,Non-communicable disease: Diabetes,4.891969
2015,Talas,,Non-communicable disease: Diabetes,0.802246
2016,Talas,,Non-communicable disease: Diabetes,2.764613
2017,Talas,,Non-communicable disease: Diabetes,3.501946
2018,Talas,,Non-communicable disease: Diabetes,3.062787
2019,Talas,,Non-communicable disease: Diabetes,3.014318
2020,Talas,,Non-communicable disease: Diabetes,5.6
2007,Talas,Male,Non-communicable disease: Diabetes,7.187781
2008,Talas,Male,Non-communicable disease: Diabetes,7.992895
2009,Talas,Male,Non-communicable disease: Diabetes,10.526316
2010,Talas,Male,Non-communicable disease: Diabetes,5.194805
2011,Talas,Male,Non-communicable disease: Diabetes,1.70503
2012,Talas,Male,Non-communicable disease: Diabetes,5.025126
2013,Talas,Male,Non-communicable disease: Diabetes,5.761317
2014,Talas,Male,Non-communicable disease: Diabetes,4.854369
2015,Talas,Male,Non-communicable disease: Diabetes,0.794913
2016,Talas,Male,Non-communicable disease: Diabetes,1.563722
2017,Talas,Male,Non-communicable disease: Diabetes,3.85208
2018,Talas,Male,Non-communicable disease: Diabetes,1.515152
2019,Talas,Male,Non-communicable disease: Diabetes,2.980626
2020,Talas,Male,Non-communicable disease: Diabetes,3.7
2007,Talas,Female,Non-communicable disease: Diabetes,8.078995
2008,Talas,Female,Non-communicable disease: Diabetes,7.117438
2009,Talas,Female,Non-communicable disease: Diabetes,9.683099
2010,Talas,Female,Non-communicable disease: Diabetes,5.221932
2011,Talas,Female,Non-communicable disease: Diabetes,4.299226
2012,Talas,Female,Non-communicable disease: Diabetes,3.389831
2013,Talas,Female,Non-communicable disease: Diabetes,6.672227
2014,Talas,Female,Non-communicable disease: Diabetes,4.930156
2015,Talas,Female,Non-communicable disease: Diabetes,0.809717
2016,Talas,Female,Non-communicable disease: Diabetes,3.990423
2017,Talas,Female,Non-communicable disease: Diabetes,3.144654
2018,Talas,Female,Non-communicable disease: Diabetes,4.643963
2019,Talas,Female,Non-communicable disease: Diabetes,3.04878
2020,Talas,Female,Non-communicable disease: Diabetes,7.5
2007,Chui,,Non-communicable disease: Diabetes,7.706886
2008,Chui,,Non-communicable disease: Diabetes,7.89177
2009,Chui,,Non-communicable disease: Diabetes,4.721083
2010,Chui,,Non-communicable disease: Diabetes,5.667817
2011,Chui,,Non-communicable disease: Diabetes,7.206547
2012,Chui,,Non-communicable disease: Diabetes,4.816376
2013,Chui,,Non-communicable disease: Diabetes,7.919622
2014,Chui,,Non-communicable disease: Diabetes,9.512761
2015,Chui,,Non-communicable disease: Diabetes,7.395608
2016,Chui,,Non-communicable disease: Diabetes,8.590874
2017,Chui,,Non-communicable disease: Diabetes,6.568144
2018,Chui,,Non-communicable disease: Diabetes,7.193472
2019,Chui,,Non-communicable disease: Diabetes,6.62809
2020,Chui,,Non-communicable disease: Diabetes,9.1
2007,Chui,Male,Non-communicable disease: Diabetes,6.177606
2008,Chui,Male,Non-communicable disease: Diabetes,7.14468
2009,Chui,Male,Non-communicable disease: Diabetes,3.794586
2010,Chui,Male,Non-communicable disease: Diabetes,6.268806
2011,Chui,Male,Non-communicable disease: Diabetes,5.962733
2012,Chui,Male,Non-communicable disease: Diabetes,5.382921
2013,Chui,Male,Non-communicable disease: Diabetes,5.522209
2014,Chui,Male,Non-communicable disease: Diabetes,8.71819
2015,Chui,Male,Non-communicable disease: Diabetes,5.083179
2016,Chui,Male,Non-communicable disease: Diabetes,6.796556
2017,Chui,Male,Non-communicable disease: Diabetes,5.335705
2018,Chui,Male,Non-communicable disease: Diabetes,5.669429
2019,Chui,Male,Non-communicable disease: Diabetes,5.553182
2020,Chui,Male,Non-communicable disease: Diabetes,6.3
2007,Chui,Female,Non-communicable disease: Diabetes,9.181141
2008,Chui,Female,Non-communicable disease: Diabetes,8.612205
2009,Chui,Female,Non-communicable disease: Diabetes,5.615234
2010,Chui,Female,Non-communicable disease: Diabetes,5.087209
2011,Chui,Female,Non-communicable disease: Diabetes,8.409419
2012,Chui,Female,Non-communicable disease: Diabetes,4.267425
2013,Chui,Female,Non-communicable disease: Diabetes,10.24447
2014,Chui,Female,Non-communicable disease: Diabetes,10.283364
2015,Chui,Female,Non-communicable disease: Diabetes,9.639094
2016,Chui,Female,Non-communicable disease: Diabetes,10.331941
2017,Chui,Female,Non-communicable disease: Diabetes,7.76364
2018,Chui,Female,Non-communicable disease: Diabetes,8.671743
2019,Chui,Female,Non-communicable disease: Diabetes,7.671574
2020,Chui,Female,Non-communicable disease: Diabetes,11.8
2007,Bishkek (city),,Non-communicable disease: Diabetes,4.03571
2008,Bishkek (city),,Non-communicable disease: Diabetes,5.197631
2009,Bishkek (city),,Non-communicable disease: Diabetes,4.645622
2010,Bishkek (city),,Non-communicable disease: Diabetes,3.985465
2011,Bishkek (city),,Non-communicable disease: Diabetes,4.036443
2012,Bishkek (city),,Non-communicable disease: Diabetes,3.957038
2013,Bishkek (city),,Non-communicable disease: Diabetes,4.861341
2014,Bishkek (city),,Non-communicable disease: Diabetes,3.777658
2015,Bishkek (city),,Non-communicable disease: Diabetes,3.164891
2016,Bishkek (city),,Non-communicable disease: Diabetes,4.951516
2017,Bishkek (city),,Non-communicable disease: Diabetes,4.338176
2018,Bishkek (city),,Non-communicable disease: Diabetes,3.350744
2019,Bishkek (city),,Non-communicable disease: Diabetes,2.786854
2020,Bishkek (city),,Non-communicable disease: Diabetes,4.7
2007,Bishkek (city),Male,Non-communicable disease: Diabetes,4.472507
2008,Bishkek (city),Male,Non-communicable disease: Diabetes,3.648684
2009,Bishkek (city),Male,Non-communicable disease: Diabetes,4.367934
2010,Bishkek (city),Male,Non-communicable disease: Diabetes,3.283657
2011,Bishkek (city),Male,Non-communicable disease: Diabetes,2.483238
2012,Bishkek (city),Male,Non-communicable disease: Diabetes,3.64786
2013,Bishkek (city),Male,Non-communicable disease: Diabetes,5.698006
2014,Bishkek (city),Male,Non-communicable disease: Diabetes,3.242993
2015,Bishkek (city),Male,Non-communicable disease: Diabetes,2.938517
2016,Bishkek (city),Male,Non-communicable disease: Diabetes,4.19426
2017,Bishkek (city),Male,Non-communicable disease: Diabetes,3.882657
2018,Bishkek (city),Male,Non-communicable disease: Diabetes,2.736842
2019,Bishkek (city),Male,Non-communicable disease: Diabetes,2.0496
2020,Bishkek (city),Male,Non-communicable disease: Diabetes,5.8
2007,Bishkek (city),Female,Non-communicable disease: Diabetes,3.656307
2008,Bishkek (city),Female,Non-communicable disease: Diabetes,6.537421
2009,Bishkek (city),Female,Non-communicable disease: Diabetes,4.885632
2010,Bishkek (city),Female,Non-communicable disease: Diabetes,4.593176
2011,Bishkek (city),Female,Non-communicable disease: Diabetes,5.38329
2012,Bishkek (city),Female,Non-communicable disease: Diabetes,4.22565
2013,Bishkek (city),Female,Non-communicable disease: Diabetes,4.133085
2014,Bishkek (city),Female,Non-communicable disease: Diabetes,4.244139
2015,Bishkek (city),Female,Non-communicable disease: Diabetes,3.363007
2016,Bishkek (city),Female,Non-communicable disease: Diabetes,5.615802
2017,Bishkek (city),Female,Non-communicable disease: Diabetes,4.738438
2018,Bishkek (city),Female,Non-communicable disease: Diabetes,3.891051
2019,Bishkek (city),Female,Non-communicable disease: Diabetes,3.43767
2020,Bishkek (city),Female,Non-communicable disease: Diabetes,3.7
2007,Osh (city),,Non-communicable disease: Diabetes,9.364027
2008,Osh (city),,Non-communicable disease: Diabetes,11.650485
2009,Osh (city),,Non-communicable disease: Diabetes,5.800464
2010,Osh (city),,Non-communicable disease: Diabetes,6.213592
2011,Osh (city),,Non-communicable disease: Diabetes,8.600469
2012,Osh (city),,Non-communicable disease: Diabetes,5.424254
2013,Osh (city),,Non-communicable disease: Diabetes,13.318113
2014,Osh (city),,Non-communicable disease: Diabetes,7.844602
2015,Osh (city),,Non-communicable disease: Diabetes,6.227106
2016,Osh (city),,Non-communicable disease: Diabetes,8.967001
2017,Osh (city),,Non-communicable disease: Diabetes,11.913104
2018,Osh (city),,Non-communicable disease: Diabetes,9.520571
2019,Osh (city),,Non-communicable disease: Diabetes,9.477124
2020,Osh (city),,Non-communicable disease: Diabetes,13.9
2007,Osh (city),Male,Non-communicable disease: Diabetes,8.136697
2008,Osh (city),Male,Non-communicable disease: Diabetes,8.906883
2009,Osh (city),Male,Non-communicable disease: Diabetes,3.220612
2010,Osh (city),Male,Non-communicable disease: Diabetes,4.045307
2011,Osh (city),Male,Non-communicable disease: Diabetes,5.709625
2012,Osh (city),Male,Non-communicable disease: Diabetes,4.846527
2013,Osh (city),Male,Non-communicable disease: Diabetes,5.542359
2014,Osh (city),Male,Non-communicable disease: Diabetes,5.430566
2015,Osh (city),Male,Non-communicable disease: Diabetes,3.799392
2016,Osh (city),Male,Non-communicable disease: Diabetes,5.200594
2017,Osh (city),Male,Non-communicable disease: Diabetes,8.701958
2018,Osh (city),Male,Non-communicable disease: Diabetes,11.235955
2019,Osh (city),Male,Non-communicable disease: Diabetes,10.114633
2020,Osh (city),Male,Non-communicable disease: Diabetes,13.0
2007,Osh (city),Female,Non-communicable disease: Diabetes,10.494753
2008,Osh (city),Female,Non-communicable disease: Diabetes,14.179104
2009,Osh (city),Female,Non-communicable disease: Diabetes,8.184524
2010,Osh (city),Female,Non-communicable disease: Diabetes,8.215086
2011,Osh (city),Female,Non-communicable disease: Diabetes,11.261261
2012,Osh (city),Female,Non-communicable disease: Diabetes,5.956813
2013,Osh (city),Female,Non-communicable disease: Diabetes,20.512821
2014,Osh (city),Female,Non-communicable disease: Diabetes,10.086455
2015,Osh (city),Female,Non-communicable disease: Diabetes,8.486563
2016,Osh (city),Female,Non-communicable disease: Diabetes,12.482663
2017,Osh (city),Female,Non-communicable disease: Diabetes,14.915254
2018,Osh (city),Female,Non-communicable disease: Diabetes,7.910349
2019,Osh (city),Female,Non-communicable disease: Diabetes,8.877616
2020,Osh (city),Female,Non-communicable disease: Diabetes,14.7
2007,,,Non-communicable disease: Chronic respiratory disease,39.651507
2008,,,Non-communicable disease: Chronic respiratory disease,38.50565
2009,,,Non-communicable disease: Chronic respiratory disease,32.675125
2010,,,Non-communicable disease: Chronic respiratory disease,30.4
2011,,,Non-communicable disease: Chronic respiratory disease,27.073096
2012,,,Non-communicable disease: Chronic respiratory disease,26.054391
2013,,,Non-communicable disease: Chronic respiratory disease,21.2
2014,,,Non-communicable disease: Chronic respiratory disease,21.6
2015,,,Non-communicable disease: Chronic respiratory disease,18.9
2016,,,Non-communicable disease: Chronic respiratory disease,19.0
2017,,,Non-communicable disease: Chronic respiratory disease,17.6
2018,,,Non-communicable disease: Chronic respiratory disease,16.3
2019,,,Non-communicable disease: Chronic respiratory disease,16.4
2020,,,Non-communicable disease: Chronic respiratory disease,17.2
2007,,Male,Non-communicable disease: Chronic respiratory disease,47.17562
2008,,Male,Non-communicable disease: Chronic respiratory disease,45.319408
2009,,Male,Non-communicable disease: Chronic respiratory disease,38.205292
2010,,Male,Non-communicable disease: Chronic respiratory disease,35.475234
2011,,Male,Non-communicable disease: Chronic respiratory disease,31.255739
2012,,Male,Non-communicable disease: Chronic respiratory disease,30.863083
2013,,Male,Non-communicable disease: Chronic respiratory disease,25.038017
2014,,Male,Non-communicable disease: Chronic respiratory disease,25.565525
2015,,Male,Non-communicable disease: Chronic respiratory disease,21.703008
2016,,Male,Non-communicable disease: Chronic respiratory disease,21.648903
2017,,Male,Non-communicable disease: Chronic respiratory disease,21.352777
2018,,Male,Non-communicable disease: Chronic respiratory disease,19.421501
2019,,Male,Non-communicable disease: Chronic respiratory disease,19.478087
2020,,Male,Non-communicable disease: Chronic respiratory disease,19.6
2007,,Female,Non-communicable disease: Chronic respiratory disease,32.32694
2008,,Female,Non-communicable disease: Chronic respiratory disease,31.872658
2009,,Female,Non-communicable disease: Chronic respiratory disease,27.286731
2010,,Female,Non-communicable disease: Chronic respiratory disease,25.519266
2011,,Female,Non-communicable disease: Chronic respiratory disease,22.994269
2012,,Female,Non-communicable disease: Chronic respiratory disease,21.359086
2013,,Female,Non-communicable disease: Chronic respiratory disease,17.357029
2014,,Female,Non-communicable disease: Chronic respiratory disease,17.768133
2015,,Female,Non-communicable disease: Chronic respiratory disease,16.221786
2016,,Female,Non-communicable disease: Chronic respiratory disease,16.361918
2017,,Female,Non-communicable disease: Chronic respiratory disease,13.818252
2018,,Female,Non-communicable disease: Chronic respiratory disease,13.271005
2019,,Female,Non-communicable disease: Chronic respiratory disease,13.280457
2020,,Female,Non-communicable disease: Chronic respiratory disease,14.8
2007,Batken,,Non-communicable disease: Chronic respiratory disease,43.209877
2008,Batken,,Non-communicable disease: Chronic respiratory disease,44.972922
2009,Batken,,Non-communicable disease: Chronic respiratory disease,36.710037
2010,Batken,,Non-communicable disease: Chronic respiratory disease,31.092821
2011,Batken,,Non-communicable disease: Chronic respiratory disease,28.320971
2012,Batken,,Non-communicable disease: Chronic respiratory disease,14.984575
2013,Batken,,Non-communicable disease: Chronic respiratory disease,16.153349
2014,Batken,,Non-communicable disease: Chronic respiratory disease,15.572391
2015,Batken,,Non-communicable disease: Chronic respiratory disease,17.262639
2016,Batken,,Non-communicable disease: Chronic respiratory disease,16.462558
2017,Batken,,Non-communicable disease: Chronic respiratory disease,16.912488
2018,Batken,,Non-communicable disease: Chronic respiratory disease,14.247208
2019,Batken,,Non-communicable disease: Chronic respiratory disease,9.789157
2020,Batken,,Non-communicable disease: Chronic respiratory disease,10.5
2007,Batken,Male,Non-communicable disease: Chronic respiratory disease,46.707146
2008,Batken,Male,Non-communicable disease: Chronic respiratory disease,51.388889
2009,Batken,Male,Non-communicable disease: Chronic respiratory disease,42.922374
2010,Batken,Male,Non-communicable disease: Chronic respiratory disease,30.139451
2011,Batken,Male,Non-communicable disease: Chronic respiratory disease,31.886625
2012,Batken,Male,Non-communicable disease: Chronic respiratory disease,16.059028
2013,Batken,Male,Non-communicable disease: Chronic respiratory disease,16.108521
2014,Batken,Male,Non-communicable disease: Chronic respiratory disease,16.970199
2015,Batken,Male,Non-communicable disease: Chronic respiratory disease,18.181818
2016,Batken,Male,Non-communicable disease: Chronic respiratory disease,17.758485
2017,Batken,Male,Non-communicable disease: Chronic respiratory disease,19.319938
2018,Batken,Male,Non-communicable disease: Chronic respiratory disease,15.879017
2019,Batken,Male,Non-communicable disease: Chronic respiratory disease,10.347376
2020,Batken,Male,Non-communicable disease: Chronic respiratory disease,9.4
2007,Batken,Female,Non-communicable disease: Chronic respiratory disease,39.594399
2008,Batken,Female,Non-communicable disease: Chronic respiratory disease,38.332535
2009,Batken,Female,Non-communicable disease: Chronic respiratory disease,30.274361
2010,Batken,Female,Non-communicable disease: Chronic respiratory disease,32.078103
2011,Batken,Female,Non-communicable disease: Chronic respiratory disease,24.64628
2012,Batken,Female,Non-communicable disease: Chronic respiratory disease,13.876455
2013,Batken,Female,Non-communicable disease: Chronic respiratory disease,16.19965
2014,Batken,Female,Non-communicable disease: Chronic respiratory disease,14.126712
2015,Batken,Female,Non-communicable disease: Chronic respiratory disease,16.311167
2016,Batken,Female,Non-communicable disease: Chronic respiratory disease,15.120556
2017,Batken,Female,Non-communicable disease: Chronic respiratory disease,14.417301
2018,Batken,Female,Non-communicable disease: Chronic respiratory disease,12.553943
