Year,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,COMPOSITE_BREAKDOWN,GeoCode,Value
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,0.3
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,0.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,0.5
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,0.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,0.4
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,0.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,1.4
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,1.1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,1.0
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,7.0
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,4.9
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,3.2
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,5.7
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,0.5
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,0.1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,0.1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,0.1
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0.0
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0.0
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0.0
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0.0
